SL,EEG,BP,HR,CIRCULATION,ACTIVITY
146095,-5999,61,317,6400,0
24049.4,-2939.3,24,154,1252,3
47380,-5304,60,201,2316,0
2174.68,-1130.91,20,54,165,2
3228,-1698,11,72,226,0
29360.4,-1997.39,35,132,1513,5
2310.6,-1042.97,22,54,165,0
39269,-3990.33,110,205,1751,5
173815,-5490,101,449,5537,2
1444.89,-1003.39,42,52,133,2
33376,-3886,24,168,1211,0
25827.7,-2420,28,156,1364,3
95849,-6398,44,259,4146,0
1444.28,-1005.58,42,52,133,2
26095.7,-3396.21,27,174,1415,3
1472.27,-946372,42,52,133,2
3135.02,-1179.71,37,67,224,4
112831,-8850,60,338,4723,0
137340,-5968.22,176,279,5626,0
37881.7,-4077.25,112,205,1751,3
4221.11,-1493.68,122,88,318,2
36296.1,-3820,43,196,1997,5
55567,-6302,122,237,2679,0
7671.4,-2200,18,102,516,4
67810.7,-3400,58,224,2192,4
278144,-9721.79,71,468,9276,5
5413.24,-2170,8,79,292,2
137623,-9070,83,449,5537,2
49268.8,-5010,26,216,2677,3
45616.8,-2480,42,234,1581,2
514203,-12439.8,133,540,18067,4
12426.5,-2672.12,93,136,619,3
29645.5,-3969.08,42,179,1626,0
190062,-6680,53,390,7459,4
26717.1,-3419.42,45,174,1415,4
13730,-2369,28,120,813,0
11808,-4137,27,115,803,0
46367,-5934.87,63,273,2061,5
27247.8,-2924,94,158,1403,3
246354,-6758,64,360,8725,0
5179.39,-2380,57,79,292,2
26821.5,-2540,33,156,1364,3
128042,-8414,251,325,5739,0
59076,-11599,90,354,2330,0
21771,-3423,73,156,1211,0
4889.23,-1960,19,86,205,4
43303.4,-3370,20,196,1885,4
37831,-3576.71,52,180,2054,5
3060.4,-1245.17,31,71,249,4
36390.2,-4830,35,196,1997,5
516371,-10921.9,113,540,18067,4
23613,-3635,24,158,1258,0
3526.35,-789216,49,51,132,3
89889.3,-5580,62,254,3885,3
137142,-8453,83,375,5426,0
81200,-7183,140,253,3970,0
73728.5,-3780,29,249,3630,2
471687,-13800,35,483,15505,2
51.0363,-559,6,33,5,1
11511.4,-3327.88,42,156,654,4
27523.1,-4207.29,38,214,1469,3
114306,-3180,39,235,4905,2
10166.8,-2290,33,154,587,2
7643,-3609,11,108,487,0
51676.6,-2870,44,234,2464,3
161497,-8910,88,388,6290,4
4104.16,-1370,15,79,317,2
49292.3,-5120,42,216,2677,3
139655,-5720,31,315,5844,2
281385,-11500,83,540,8870,4
28705.8,-3804.91,73,214,1469,5
15775.9,-2729.66,74,134,970,4
115169,-2980,43,235,4905,2
59120.7,-4535.66,98,217,2904,2
91969,-4929,41,230,4241,0
183128,-4240,78,403,6746,5
7659,-4207,12,109,484,0
11131.3,-3080.58,37,156,654,4
4149.42,-1548.34,123,88,318,2
3275.41,-1162.53,29,71,249,4
53810,-3978,34,235,2460,0
2203.07,-1147.9,22,54,165,1
75233,-6065,76,248,3538,0
13624.8,-2839.02,16,148,729,4
2059.16,-1060.72,7,63,166,3
4963.28,4910,29,85,343,2
192851,-9540,53,390,7459,4
79842.1,-7020,42,272,3539,3
4370.62,-1490,20,85,343,4
43140.8,-2140,68,223,2059,3
10370.1,-1890,39,154,587,2
11988.4,-2560.04,83,128,693,2
10634.7,-2005.96,33,102,764,5
9540,-2159,44,134,487,0
161641,-11500,87,388,6290,3
202825,-8580,51,390,7459,4
82194,-9924,102,330,3715,0
79281.5,-7271.55,66,320,3466,5
137559,-9240,83,449,5537,2
66038,-8059,60,286,2901,0
9301.76,-3209.6,22,138,554,3
9454,-1967,14,141,584,0
4789.96,-1320,20,85,343,1
16925.5,-4320.51,37,183,931,1
73788.1,-4410,21,249,3630,1
35123.2,-4472.45,125,208,1691,4
22175,-4675,33,184,1210,0
219938,-11279,80,380,7226,0
10459,-3456,12,114,549,0
30853.9,-3004.41,99,171,1747,4
32137,-5479,44,165,1690,0
7437.4,-2150,158,109,486,5
9603.81,-2517.39,19,123,621,3
3015.32,-1230.76,42,67,224,5
52427.9,-6124.04,56,288,2334,4
16681,-3841,88,172,973,3
87520.3,-2280,18,220,3450,4
9525.59,-2889.77,19,138,554,4
102425,-5685.63,150,281,4061,5
4505,-1884,15,97,322,0
141333,-4710,49,315,5844,3
141887,-5280,41,315,5844,3
197745,-10893,318,388,7460,0
1456.39,-961918,42,52,133,2
1782.69,-1427.63,15,76,147,4
27206,-584,34,166,1111,4
3067.15,-1182.62,38,67,224,3
4452.99,-1100,20,88,292,3
27102.4,-1380,22,166,1414,4
4117.44,-1479.35,124,88,318,4
75832,-5688,32,242,3060,0
57372.2,-3780,48,223,2822,4
410997,-8370,62,473,14125,3
192110,-4560,90,403,6746,4
115053,-4570,70,271,4426,3
7481,-2187,7,97,400,0
4398.6,-1660,13,79,292,4
50.8227,-667,8,33,5,1
9229.4,-3097.47,18,138,554,3
4711.47,-2762.2,27,131,271,5
27517,-3280,27,194,1521,3
52757.5,-2660,38,234,2464,3
74941,-6169,26,230,3288,0
12053.4,-2598.95,89,128,693,2
2149.74,-1167.6,22,54,165,1
1446.68,-961242,42,52,133,2
52380.4,-5090,16,215,2188,3
2192.73,-1148.48,20,54,165,2
22695.2,-2250,11,166,1111,3
5689.3,-1260,16,79,292,2
74465.9,-4230,26,249,3630,3
921,-670,7,53,72,0
7042.29,-2016.04,36,108,428,5
74685.3,-3380,25,249,3630,2
7675.44,-1735.06,72,104,457,2
4089.3,-2574.81,73,101,249,0
52.7779,-596,8,33,5,1
14097.5,-2358.41,96,120,809,3
49118.6,-4490,26,216,2677,4
7392.17,-1457.71,36,93,545,4
243924,-11900,98,537,8350,2
67843.8,-5537.81,143,247,3373,1
90465.4,-4010,44,254,3885,3
43581,-6839,191,230,2061,0
108191,-7580,55,322,4619,5
13390.1,-1612.26,16,96,804,2
26166.5,-3110,32,156,1364,2
134636,-8450,44,311,4925,0
10451.8,-1490,32,154,587,2
64812,-5319,33,220,3203,0
75698.3,-3490,35,249,3630,3
1101,-528,14,67,74,0
89249,-7661,51,267,3889,0
186884,-11048,92,439,6521,0
7370.16,-1666.65,54,93,545,3
80131,-8135,166,279,3798,0
7671.02,-1833.55,76,104,457,2
11109.3,-1866.49,41,105,765,5
96071,-5727.76,51,294,4249,4
2583.83,-1197.91,38,67,224,4
115998,-4810,63,271,4426,3
86138.8,-3400,33,220,3450,4
29057.2,-3368.25,35,179,1626,5
4773.61,-1249.39,17,72,340,5
104172,-1876,50,339,4439,0
12592.1,-2543.56,75,136,619,5
35439,-5864,41,270,1643,0
27772.1,-2922.91,100,158,1403,4
17284,-2718.01,77,142,844,5
17111,-2896.77,83,142,844,3
3804.6,-1150,13,79,317,2
55797.2,-3500,64,224,2192,4
20452,-3458.78,89,163,1162,4
8877,-3570,14,129,521,0
1102,-826,24,66,63,0
6646.73,-2710,21,119,395,4
13927,-2130.12,43,120,809,3
41770.7,-2850,50,234,1581,2
2195.63,-971394,20,54,165,2
190154,-9967,322,374,6633,0
10029.9,-1380,29,154,587,3
50480.1,-5440,24,216,2677,3
76049,-7498,46,244,3706,0
9138,-2117,7,105,581,0
74748.9,-4380,27,249,3630,2
51446.8,-2770,44,234,2464,3
46156.3,-4970,21,215,2188,3
2819.88,-1394.68,52,67,224,2
70251,-6125,110,223,3209,0
6997,-3343,15,121,397,0
244859,-12900,82,540,8870,3
35005,-3824,32,204,1934,0
27186.4,-2816.2,77,158,1403,4
38424.7,-3866.32,110,205,1751,5
29224,-3403,24,170,1467,0
168482,-7908,59,390,6294,0
72643,-4931,36,216,3454,0
17970,-3996,2,110,806,0
5361,-2139,5,82,244,0
7666.13,-1818.38,74,104,457,2
58003.8,-3730,34,223,2822,5
70582,-5621,45,270,3130,0
53396,-5518,43,210,2383,0
4915.01,16900,29,85,343,2
66975,-4212,40,229,2603,0
5432.27,-2380,16,79,292,2
141759,-3510,63,315,5844,4
3944.51,-1210,13,79,317,3
2237.33,-1627.29,18,82,185,4
64955,-6410,156,222,3290,0
9183.57,-1000,24,102,516,5
41137,-6143,36,216,1754,0
139512,-4850,47,315,5844,2
5330.75,-1360,29,86,205,3
60657.5,-5130,24,247,2754,3
28649.6,-3410.33,36,179,1626,4
39536,-5602,60,229,2127,0
61361,-8372,147,314,2836,0
2459,-1312,8,68,130,0
25747.5,-3358.44,33,174,1415,3
65271.8,-2140,61,223,2822,5
25822.5,-3391.89,25,174,1415,4
39993,-5223,32,192,1865,0
29836,-3194.26,106,171,1747,5
25180,-2843,29,186,1414,0
26813.1,-4137.09,41,214,1469,3
115345,-3890,51,271,4426,3
12458,-3366,24,169,695,0
90867.7,-4580,41,254,3885,3
52665.7,-6117.45,48,288,2334,4
74450.8,-4240,26,249,3630,3
50.1395,-560,6,33,5,3
2407.48,-842001,44,51,132,5
20582.5,-3497.77,92,163,1162,4
109412,-5505,21,284,4617,0
10442.1,-3180,16,109,689,4
5241.91,-2380,23,86,205,3
11323.5,-3143.73,52,156,654,4
32234.5,409,40,234,1581,2
47.7134,-336,6,33,5,1
2190.45,-919427,20,54,165,2
9476.29,-2975.24,96,130,490,2
95056.9,-5910.85,58,294,4249,5
301046,-8462,80,445,10102,0
117879,-6610,55,271,4426,2
2250.05,-1080.5,20,54,165,2
21532,-2783,186,146,1308,0
135304,-9469,206,312,5731,0
470143,-12400,50,483,15505,3
39537,-1800,11,196,1885,3
260781,-11947,262,424,9408,0
11748.7,-2525.3,86,128,693,3
12467,-3029,10,133,803,0
12594.5,-2579.86,85,136,619,4
11055.3,-3199.2,29,156,654,4
202432,-7950,61,390,7459,5
1932.93,-1084.97,4,63,166,3
42299,-2450,28,166,1414,4
34145,-3436.39,92,176,1922,5
5194.69,-1460,21,85,343,1
73612.8,-5440,19,249,3630,2
3294.57,-1222.36,36,71,249,4
10384,-2820,52,132,658,0
414308,-6940,68,473,14125,3
62379,-5684,46,237,2746,0
150697,-9030,74,449,5537,2
474761,-11300,52,483,15505,4
4038.1,-2278.19,70,101,249,4
34152,-5527,66,184,1691,0
44735.6,-3110,46,223,2059,3
24941.5,-3157.75,38,157,1519,3
9376.3,-2854.38,23,138,554,4
78604.5,-7117.31,80,320,3466,5
12457.1,-2441.02,57,136,619,4
73530.7,-5340,26,249,3630,2
8766,-2512,19,138,400,0
9470.7,-2953.96,100,130,490,4
4602.88,-2677.06,26,131,271,4
3422.31,-793939,50,51,132,2
10981.1,-1789.77,32,102,764,4
11133.1,-1958.78,25,102,764,5
20341.6,-2486.65,69,163,1162,2
50.0522,-489,94,33,5,4
92219.9,-4920,63,254,3885,4
59655.6,-5380,25,247,2754,3
9476.03,-2484.88,13,123,621,2
26259.5,-3367.83,29,174,1415,4
4634.86,-2744.3,31,131,271,5
10328.6,-2320,36,154,587,2
116247,-6978,48,330,4627,0
75220,-4350,25,249,3630,3
12154,-1857,10,93,842,0
240604,-6140,98,537,8350,3
9768.44,-2735.34,15,138,554,4
17122.2,-3698.56,39,183,931,4
73427,-3860,29,249,3630,2
242311,-10500,104,537,8350,3
7232.32,-1646.52,50,93,545,2
2999.9,-1215.28,44,67,224,3
27060,-762,35,166,1111,4
521716,-11394.2,143,540,18067,4
57684,-6588,47,302,2537,0
62082.5,-2730,56,223,2822,4
9537.15,-2798.49,38,138,554,4
50.2179,-560,92,33,5,4
78331.6,-7410,40,272,3539,3
13634.2,-2858.77,16,148,729,4
119751,-5981,48,261,4517,0
255885,-7840,92,537,8350,3
11207,-1868.54,14,102,764,4
73756.6,-5290,24,249,3630,2
142495,-3880,46,315,5844,3
62330,-7140,13,187,1928,0
12552.2,-2775.33,88,130,694,5
4684.18,-1010,22,85,343,1
3545.77,-750.43,46,51,132,3
51.7655,-388,92,33,5,4
1477.82,-991843,42,52,133,2
26594,-6014,37,192,1208,0
57935,-4304,23,221,2824,0
19573.6,-2697.6,90,151,1023,5
27442,-2905.23,91,158,1403,3
113629,-7506,72,378,4731,0
8242,-2144,16,117,457,0
28025.4,8220,29,166,1414,4
47455,-2090,51,234,1581,2
4771.38,-1460,21,85,343,1
1005950,-20576,198,715,30042,0
15659.5,-2636.71,70,134,970,3
4124,-3333,47,112,292,0
98011,-7816,92,436,3305,0
36016.8,-4600,42,196,1997,5
814047,-18392,186,753,20648,0
51426.8,-3360,36,188,2599,3
4772,-914,23,85,343,1
142461,-10712,309,387,5428,0
39342.2,-3934.64,26,193,2118,4
27457.8,-4406.64,56,214,1469,5
26617.4,-3345.54,32,174,1415,4
11334.8,-2947.54,34,156,654,4
9249.31,-3308.3,16,138,554,2
27898.6,-2350,19,166,1414,4
59810.2,-6648.95,157,305,2610,3
50782.6,-3440,76,234,2464,3
263742,-8920,102,537,8350,3
7333.25,-2509.39,16,122,429,0
114599,-2330,41,235,4905,2
139083,-8246,150,326,6508,0
11978.8,-2552.44,82,128,693,3
39277,-2190,21,196,1885,3
270592,-8570,102,537,8350,3
27963.6,-2819.72,94,156,1521,4
52252.6,-3030,34,234,2464,3
2774.29,-1135.92,40,67,224,3
7569.3,-1883.27,77,104,457,2
509795,-19912,154,782,14166,0
51256.1,-3710,48,234,2464,4
97433,-6459,85,270,3796,0
284119,-15700,70,540,8870,4
12630.1,-2512.83,88,136,619,4
50974.9,-4556.32,120,209,2534,4
1830.27,-1254.23,7,63,166,0
674161,-23313,92,725,20240,0
2887,-2615,3,110,166,0
20500.1,-3419.77,81,163,1162,5
305592,-11749,201,428,11269,0
30534.6,-3177.42,117,171,1747,5
13687.6,-2890.13,14,148,729,4
83120,-7431,41,332,3638,0
4017.06,-2334.26,70,101,249,4
4383.61,-1344.15,21,72,340,3
115932,-8056,63,405,4071,0
28563.3,-2570,26,194,1521,4
47551.1,169,45,223,2059,3
18382,-4782,62,164,1019,0
4417.42,-1180,11,79,317,4
2215.9,-1056.31,24,54,165,2
39694,-5506,236,191,2119,0
4196.28,-1170,12,79,317,2
12822,-1810,12,129,808,0
4613,-1623,8,94,313,0
19094,-3691,58,162,1206,0
21314,-2858,22,145,1109,0
10368,-2517,25,144,619,0
16699,-3202,17,108,486,0
195815,-6270,68,403,6746,3
10140.8,-1630,34,154,587,4
13932.3,-2428.82,91,120,809,2
5328.69,-2030,9,79,292,2
60886.5,-3320,30,247,2754,4
143616,-5995.49,157,308,6057,4
27778.9,-2826.17,94,156,1521,4
116371,-4880,51,271,4426,3
1172.52,-831422,30,51,102,5
13350.1,-1568.05,15,96,804,2
116199,-4020,39,235,4905,3
21422,-4481,31,165,1305,0
143687,-7207.49,175,362,5847,4
13576.6,-2614.35,22,132,806,5
262192,-12000,87,540,8870,4
115403,-7946,46,323,4920,0
29902,-5093,98,178,1634,0
172276,-6970,87,403,6746,3
409617,-11600,63,473,14125,2
73304.2,-4430,30,249,3630,2
9604.68,-2907.17,22,138,554,4
164892,-8297,197,330,6520,0
71755.5,-5610.01,31,262,3211,5
5888,-1044,20,68,481,0
80709,-6969.73,79,320,3466,5
2231.54,-827734,24,54,165,2
4275.34,-1450,17,88,292,1
517731,-11446.9,123,540,18067,4
34804.4,-4416.26,120,208,1691,4
19830.7,-3547.9,87,163,1162,2
26582.3,-2210,67,166,1414,3
3979.56,-1240,15,79,317,2
60594.5,-5130,23,215,2188,3
1954.68,-1083.85,5,63,166,3
762649,-19830,146,718,22296,0
210590,-10706,52,365,8077,0
27540.5,-2850.33,102,158,1403,4
11794.9,-1939.08,11,105,765,4
38480.2,-4170.23,119,205,1751,3
38428.4,-4134.91,15,193,2118,3
210073,-7060,80,327,5215,0
12095.4,-2659.16,86,136,619,3
16796.1,-2812.48,82,142,844,3
39660,-4400,80,202,2124,0
17259,-3365,64,144,844,0
22896.3,-4780,40,182,1212,4
5518,-2216,20,93,320,0
60281.9,-2400,35,223,2822,4
5246.18,-2091.07,58,107,346,2
23053.1,-1020,16,166,1111,3
50307.3,-5570,27,216,2677,3
133299,-6722,70,349,5329,0
42959.5,-1330,54,223,2059,4
12586.2,-2447.09,65,136,619,3
43273,-8498,112,231,2188,0
3670,-2710,11,96,273,0
451497,-14199,113,581,15338,0
3478.04,-790805,50,51,132,3
4323.71,-1860,10,86,205,2
52042,-9051,47,306,2255,0
472379,-12600,44,483,15505,2
25077.5,-3127.62,34,157,1519,3
3495.31,-844729,50,51,132,2
13514.6,-2970.68,14,148,729,3
39216.3,-2150,19,196,1885,3
93941.6,-3060,27,220,3450,4
4309.04,-1250.53,24,72,340,3
20778.6,-3470.08,92,163,1162,4
18564,-4310,23,149,1109,0
145202,-7481.07,181,362,5847,4
30905.5,-899,31,166,1111,4
43592,-4865,29,200,2392,0
135164,-11251,251,388,4827,0
10480.5,-2891.94,98,139,587,2
6538,-2743,38,113,425,0
4238.4,-1581.93,126,88,318,2
4296.1,-1377.05,120,88,318,3
50351.6,-1300,67,223,2059,4
78141.2,-8060,39,272,3539,3
93230.1,-6590,59,254,3885,4
410715,-8280,68,473,14125,4
94226.5,-5830,67,254,3885,5
4139.57,-2334.4,69,101,249,4
73852.8,-4010,30,249,3630,2
26983,-2770,32,166,1414,5
83878.2,-2210,24,220,3450,3
13768.5,-1534.32,20,96,804,4
16480.6,-2629.67,81,134,970,5
58393.6,-3440,43,223,2822,4
198454,-8530,46,390,7459,4
139739,-5963.84,166,308,6057,5
26728,-1704,15,157,1116,0
13299,-4447,59,135,770,0
11931,-2090,31,131,805,0
26629.6,-2490,39,156,1364,3
622142,-12100,112,607,16234,0
147106,-6098.09,181,308,6057,4
132299,-6448,49,311,5320,0
114625,-3640,54,235,4905,2
3336.77,-777585,47,51,132,3
21528,-3698,94,171,1160,0
178766,-4790,70,403,6746,4
16781,-2748.3,76,142,844,3
88591.3,-6892.04,40,291,3799,0
1306.6,-661663,34,40,100,2
119128,-3210,40,235,4905,3
2904.45,-1197.3,34,71,249,3
191669,-8499,230,358,7337,0
316380,-13518,141,477,9693,0
469701,-12600,39,483,15505,3
27356,-4790,18,173,1524,0
4042.8,-2213.27,75,101,249,4
1889.72,-995508,7,63,166,3
4290.38,-532,11,79,317,2
839199,-16112,533,713,24012,0
16694.1,-2784.69,82,142,844,2
31692,-5676,100,189,1687,0
49640.3,-3120,48,234,2464,4
10227.6,-2290.35,91,130,490,4
38582,-4539,22,197,1519,0
4677.3,-2555.47,27,131,271,5
57992.2,-4366.97,126,217,2904,2
80511.1,-7022.12,71,320,3466,5
11077.3,-3101.81,25,156,654,4
33142.6,-3308.47,72,176,1922,4
90207.5,-4160,22,220,3450,4
36781.6,-4370,35,196,1997,4
9536.42,-2421.27,20,123,621,3
60535,-4729,26,241,2744,0
74877,-9693,58,349,3135,0
363088,-13063,369,604,11142,0
114304,-4730,69,271,4426,3
10390.1,-1740,42,154,587,3
85425,-7354,199,275,3711,0
41130,-4655,24,148,1412,0
25683.3,-3162.97,40,174,1415,4
24754.7,-785,27,156,1364,3
27162.8,-2858.31,87,156,1521,4
3752.38,-2350,10,79,292,4
890793,-16372,136,728,24027,0
197979,-7660,55,390,7459,4
35558.1,-4451.32,120,208,1691,5
78304.5,-3790,47,272,3539,3
16482.4,-4160.46,88,172,973,4
91286.1,-6320,61,254,3885,5
37230.3,-3460,41,196,1997,5
2995.97,-1188.01,44,67,224,4
1409.09,-660443,33,40,100,3
60188.3,-5470,24,247,2754,3
79528,-6471,127,292,3546,0
12922.1,-2643.82,15,132,806,4
113176,-2330,41,235,4905,3
160616,-9240,94,388,6290,4
100742,-8039,62,328,3980,0
30542,-3205.91,119,171,1747,5
10422.7,-3070,23,109,689,3
60700,-5320,27,247,2754,3
10965.8,-1995.51,23,102,764,4
5248,-2305,49,78,364,0
12309.5,-1874.63,7,105,765,3
36671.1,-2900,33,196,1997,4
37999.9,-4313.44,118,205,1751,3
40023,-6092,34,208,2054,0
21169,-2864.42,80,145,1156,4
205332,-10237,66,347,8206,0
175573,-4810,72,403,6746,4
1636,-1156,9,66,148,0
30417.9,-3263.5,120,171,1747,4
47322.9,-7632.78,50,298,2196,0
53782.9,-511224,84,209,2534,5
251162,-14300,71,540,8870,4
13856.5,-2935.83,21,148,729,4
145422,-7440.93,187,362,5847,3
52644.9,-3840,53,224,2192,4
24043,-5652,59,140,1061,0
9547.41,-2501.97,30,123,621,4
115650,-4030,48,271,4426,2
51552,-5110,41,234,2464,3
1918,-1128,19,74,133,0
29620.7,-2060,31,166,1414,4
72940,-3892,17,303,3459,0
95238,-6347,88,275,4429,0
54205,-3909,38,190,2180,0
115945,-4780,49,271,4426,3
4040.21,-2268.54,70,101,249,4
281528,-12600,70,540,8870,3
389928,-13295,119,509,13968,0
41736,-7535,18,190,1526,0
4283.09,-1350,11,79,317,2
25580.3,-2198.32,19,174,1415,4
4330.18,-1293.45,15,72,340,5
30368.4,-3296.86,121,171,1747,5
4277.82,-2100,11,79,317,2
40005,-5264,33,228,1933,0
49955,-6365,42,260,2196,0
59292,-5030,40,215,2188,3
9274.64,-2796.31,32,138,554,2
30151.6,-2036.64,26,132,1513,4
12035.3,-2532.61,82,128,693,3
18540,-3768,9,152,1069,0
473976,-9470,38,483,15505,2
1702.87,-1385.68,21,76,147,5
260837,-10300,61,403,10236,0
60616.4,-454,32,247,2754,4
91755.4,-5920,62,254,3885,3
4333.47,-2200,14,79,292,5
24336,-4345,25,235,1071,0
515348,-11594.6,149,540,18067,4
12311.5,-2942.29,72,136,619,4
